"コード","銘柄名","市場","現在値","前日比(%)","平均売買代金(千円)"
"1332","ニッスイ","東P","1185.5","-17.5(-1.45%)","1,937,234"
"1333","Ｕｍｉｏｓ","東P","1266.0","-9.5(-0.74%)","602,128"
"1407","ウエストＨＬＤＧ","東S","2387","+49.0(+2.10%)","1,256,125"
"1414","ショーボンドＨＬＤＧ","東P","1258.5","-8.5(-0.67%)","1,095,346"
"1417","ミライト・ワン","東P","3540.0","-5.0(-0.14%)","769,558"
"1419","タマホーム","東P","2870","+1.0(+0.03%)","510,421"
"1515","日鉄鉱業","東P","3740","+210.0(+5.95%)","2,916,054"
"1518","三井松島ＨＬＤＧ","東P","2283","-8.0(-0.35%)","815,663"
"1605","ＩＮＰＥＸ","東P","3912.0","+80.0(+2.09%)","18,120,177"
"1662","石油資源開発","東P","1911","+16.0(+0.84%)","2,223,103"
"1719","安藤・間","東P","1924.0","+13.0(+0.68%)","1,209,518"
"1721","コムシスＨＬＤＧ","東P","5467.0","+8.0(+0.15%)","1,983,247"
"1723","日本電技","東S","2483","+30.0(+1.22%)","541,520"
"1801","大成建設","東P","13340.0","+195.0(+1.48%)","7,901,416"
"1802","大林組","東P","3108.0","+58.0(+1.90%)","7,050,750"
"1803","清水建設","東P","2533.5","+77.5(+3.16%)","6,371,691"
"1808","長谷工コーポレーション","東P","2821.5","+21.5(+0.77%)","2,296,204"
"1812","鹿島建設","東P","5187.0","+125.0(+2.47%)","9,728,201"
"1820","西松建設","東P","5639.0","+5.0(+0.09%)","666,872"
"1833","奥村組","東P","5800","+10.0(+0.17%)","737,469"
"1860","戸田建設","東P","1529.0","+15.5(+1.02%)","1,333,048"
"1861","熊谷組","東P","1313","+13.0(+1.00%)","1,459,451"
"1878","大東建託","東P","3301.0","+11.0(+0.33%)","4,735,422"
"1882","東亜道路工業","東P","1605","-7.0(-0.43%)","603,949"
"1885","東亜建設工業","東P","2140","+36.0(+1.71%)","950,548"
"1893","五洋建設","東P","1510.0","+54.0(+3.71%)","2,819,067"
"1911","住友林業","東P","1259.0","-13.5(-1.06%)","5,187,810"
"1925","大和ハウス工業","東P","4631.0","-8.0(-0.17%)","7,946,927"
"1928","積水ハウス","東P","3321.0","+19.0(+0.58%)","6,921,863"
"1942","関電工","東P","5752.0","+116.0(+2.06%)","4,215,060"
"1944","きんでん","東P","7153.0","+30.0(+0.42%)","4,481,936"
"1951","エクシオグループ","東P","2588.5","-18.0(-0.69%)","1,107,418"
"1959","クラフティア","東P","8192.0","+142.0(+1.76%)","1,499,879"
"1961","三機工業","東P","2457","+37.0(+1.53%)","1,132,635"
"1963","日揮ＨＬＤＧ","東P","2440.0","+73.0(+3.08%)","3,335,821"
"1969","高砂熱学工業","東P","4502.0","+112.0(+2.55%)","2,314,137"
"1979","大氣社","東P","3830","+20.0(+0.52%)","991,015"
"1980","ダイダン","東P","2865","+65.0(+2.32%)","1,468,897"
"2002","日清製粉グループ本社","東P","2037.5","-7.0(-0.34%)","1,882,957"
"2121","ＭＩＸＩ","東P","3460","-65.0(-1.84%)","1,339,619"
"2124","ジェイエイシーリクルートメント","東P","956","-12.0(-1.24%)","762,832"
"2127","日本Ｍ＆ＡセンターＨＬＤＧ","東P","625.1","-14.9(-2.33%)","1,993,273"
"2146","ＵＴグループ","東P","221","-3.0(-1.34%)","1,341,523"
"2157","コシダカＨＬＤＧ","東P","992","-7.0(-0.70%)","1,136,711"
"2175","エス・エム・エス","東P","2531","-1.0(-0.04%)","1,180,032"
"2181","パーソルＨＬＤＧ","東P","279.0","-5.3(-1.86%)","2,996,067"
"2201","森永製菓","東P","2469.0","-35.0(-1.40%)","763,913"
"2206","江崎グリコ","東P","4980.0","-101.0(-1.99%)","864,333"
"2212","山崎製パン","東P","3848.0","-41.0(-1.05%)","2,250,231"
"2222","寿スピリッツ","東P","2455.0","-7.0(-0.28%)","1,541,868"
"2229","カルビー","東P","3020.0","-39.0(-1.27%)","712,492"
"2264","森永乳業","東P","1098.5","-18.0(-1.61%)","1,783,300"
"2267","ヤクルト本社","東P","2794.0","-34.5(-1.22%)","3,250,410"
"2269","明治ＨＬＤＧ","東P","4344.0","-62.0(-1.41%)","4,491,421"
"2270","雪印メグミルク","東P","3715","-50.0(-1.33%)","548,947"
"2282","日本ハム","東P","6142.0","-67.0(-1.08%)","3,307,423"
"2292","Ｓ　ＦＯＯＤＳ","東P","2755","-15.0(-0.54%)","863,396"
"2327","日鉄ソリューションズ","東P","3797.0","-34.0(-0.89%)","798,198"
"2331","ＡＬＳＯＫ","東P","1193.5","-3.0(-0.25%)","1,333,287"
"2354","ＹＥ　ＤＩＧＩＴＡＬ","東S","1387","-61.0(-4.21%)","1,331,689"
"2371","カカクコム","東P","3702.0","+11.0(+0.30%)","825,206"
"2379","ディップ","東P","1793","-28.0(-1.54%)","594,026"
"2413","エムスリー","東P","1666.0","-54.5(-3.17%)","7,803,975"
"2432","ディー・エヌ・エー","東P","2489.0","-121.5(-4.65%)","2,860,469"
"2433","博報堂ＤＹ　ＨＬＤＧ","東P","1294.0","-7.5(-0.58%)","1,092,741"
"2492","インフォマート","東P","701","-2.0(-0.28%)","2,347,003"
"2501","サッポロビール","東P","1845.0","-31.0(-1.65%)","2,239,820"
"2502","アサヒグループＨＬＤＧ","東P","1605.0","-28.0(-1.71%)","11,176,808"
"2503","キリンＨＬＤＧ","東P","2804.0","-42.5(-1.49%)","8,246,483"
"2531","宝ＨＬＤＧ","東P","2446.0","+11.0(+0.45%)","1,031,555"
"256A","飛島ＨＬＤＧ","東P","2215","+2.0(+0.09%)","506,119"
"2579","コカ・コーラボトラーズＪＰＨＤ","東P","3754.0","-52.0(-1.37%)","2,659,326"
"2585","ライフドリンク　カンパニー","東P","1438","-53.0(-3.55%)","1,280,215"
"2587","サントリービバレッジ＆フード","東P","4463.0","+29.0(+0.65%)","4,368,319"
"2593","伊藤園","東P","3135.0","-65.0(-2.03%)","1,421,048"
"2607","不二製油","東P","4395.0","-1.0(-0.02%)","1,272,119"
"2670","エービーシー・マート","東P","2670.0","-40.5(-1.49%)","1,428,746"
"2685","アンドエスティＨＤ","東P","3220","+15.0(+0.47%)","1,221,021"
"268A","リガク・ＨＬＤＧ","東P","1653","+46.0(+2.86%)","4,778,529"
"2695","くら寿司","東P","1716","-23.0(-1.32%)","675,124"
"2702","日本マクドナルドＨＬＤＧ","東S","8150","-110.0(-1.33%)","4,280,653"
"2726","パルグループＨＬＤＧ","東P","1512","-32.0(-2.07%)","1,152,280"
"2730","エディオン","東P","2448","-29.0(-1.17%)","578,771"
"2737","トーメンデバイス","東P","33500","+1,500.0(+4.69%)","3,523,133"
"2760","東京エレクトロン　デバイス","東P","4025","+70.0(+1.77%)","531,262"
"2767","円谷フィールズＨＬＤＧ","東P","2473","-7.0(-0.28%)","1,522,025"
"2768","双日","東P","5864.0","+81.0(+1.40%)","6,308,386"
"2780","コメ兵ＨＬＤＧ","東S","4515","-215.0(-4.55%)","867,310"
"2782","セリア","東S","4775","+25.0(+0.53%)","1,463,670"
"2784","アルフレッサＨＬＤＧ","東P","2292.0","+7.5(+0.33%)","928,595"
"2801","キッコーマン","東P","1695.0","-44.0(-2.53%)","5,861,138"
"2802","味の素","東P","5084.0","+16.0(+0.32%)","15,142,623"
"2805","エスビー食品","東S","7430","+90.0(+1.23%)","563,234"
"2809","キユーピー","東P","4650.0","-27.0(-0.58%)","1,320,393"
"2810","ハウス食品グループ本社","東P","3840.0","-14.0(-0.36%)","933,729"
"2811","カゴメ","東P","2744.5","+8.0(+0.29%)","730,580"
"285A","キオクシアＨＬＤＧ","東P","57000.0","-410.0(-0.71%)","1,944,044,288"
"2871","ニチレイ","東P","2142.0","-8.0(-0.37%)","2,522,703"
"2875","東洋水産","東P","10110.0","+5.0(+0.05%)","3,570,573"
"287A","黒田グループ","東S","1136","-2.0(-0.18%)","504,867"
"2897","日清食品ＨＬＤＧ","東P","2916.5","-51.0(-1.72%)","3,299,272"
"2914","日本たばこ産業","東P","6610.0","-50.0(-0.75%)","22,074,794"
"2962","テクニスコ","東S","1688","+123.0(+7.86%)","908,422"
"2980","ＳＲＥ　ＨＬＤＧ","東P","2313","-24.0(-1.03%)","717,819"
"3002","グンゼ","東P","4050","+0.0(+0.00%)","677,900"
"3003","ヒューリック","東P","1752.0","+6.5(+0.37%)","3,255,507"
"3038","神戸物産","東P","3108.0","+0.0(+0.00%)","5,655,560"
"3046","ジンズＨＬＤＧ","東P","5610","-70.0(-1.23%)","1,879,783"
"3048","ビックカメラ","東P","1692.0","-20.5(-1.20%)","1,946,556"
"3064","ＭｏｎｏｔａＲＯ","東P","1867.5","-95.5(-4.87%)","3,482,855"
"3086","Ｊ．フロント　リテイリング","東P","2600.0","-14.5(-0.55%)","4,720,687"
"3088","マツキヨココカラ＆カンパニー","東P","2530.0","-74.0(-2.84%)","3,756,879"
"3092","ＺＯＺＯ","東P","1106.5","-28.5(-2.51%)","2,658,162"
"3097","物語コーポレーション","東P","5700","-190.0(-3.23%)","910,183"
"3099","三越伊勢丹ＨＬＤＧ","東P","3122.0","+4.0(+0.13%)","10,349,058"
"3101","東洋紡","東P","1631","+50.0(+3.16%)","846,740"
"3103","ユニチカ","東S","1456","+44.0(+3.12%)","31,682,799"
"3105","日清紡ＨＬＤＧ","東P","2308.5","+93.5(+4.22%)","1,621,693"
"3107","ダイワボウＨＬＤＧ","東P","3718.0","+35.0(+0.95%)","854,920"
"3110","日東紡績","東P","3065","+130.0(+4.43%)","17,570,845"
"3116","トヨタ紡織","東P","2215.0","+14.0(+0.64%)","1,233,379"
"3132","マクニカＨＬＤＧ","東P","3551.0","+106.0(+3.08%)","2,861,266"
"3156","レスター","東P","5060","-10.0(-0.20%)","603,426"
"3176","三洋貿易","東P","1149","+33.0(+2.96%)","542,539"
"3186","ネクステージ","東P","2950","-100.0(-3.28%)","1,226,576"
"3197","すかいらーくＨＬＤＧ","東P","3369.0","-51.0(-1.49%)","3,907,549"
"3222","ユナイテッド・スーパーマーケッ","東S","843","-5.0(-0.59%)","655,737"
"3231","野村不動産ＨＬＤＧ","東P","916.8","+1.0(+0.11%)","3,357,118"
"3276","ＪＰＭＣ","東P","2246","+0.0(+0.00%)","586,545"
"3288","オープンハウスグループ","東P","7568.0","-28.0(-0.37%)","2,670,981"
"3289","東急不動産ＨＬＤＧ","東P","1303.5","+8.5(+0.66%)","3,295,412"
"3291","飯田グループＨＬＤＧ","東P","2246.0","-9.0(-0.40%)","1,145,312"
"3315","日本コークス工業","東P","101","+1.0(+1.00%)","757,094"
"3349","コスモス薬品","東P","6625.0","-193.0(-2.83%)","2,653,123"
"3350","メタプラネット","東S","251","+7.0(+2.87%)","12,450,455"
"3360","シップヘルスケアＨＬＤＧ","東P","2383.0","-2.0(-0.08%)","594,968"
"3382","セブン＆アイＨＬＤＧ","東P","2028.5","-31.0(-1.51%)","17,809,452"
"3387","クリエイト・レストランツＨＬＤ","東P","779","+4.0(+0.52%)","1,491,503"
"3391","ツルハＨＬＤＧ","東P","2337.0","-4.0(-0.17%)","3,065,955"
"3397","トリドールＨＬＤＧ","東P","4243.0","-79.0(-1.83%)","1,478,807"
"3401","帝人","東P","1645.5","+23.5(+1.45%)","1,102,816"
"3402","東レ","東P","1222.0","+9.5(+0.78%)","5,361,256"
"3405","クラレ","東P","1785.5","+24.5(+1.39%)","2,861,457"
"3407","旭化成","東P","1567.0","-3.5(-0.22%)","7,142,697"
"3433","トーカロ","東P","2776","+20.0(+0.73%)","582,457"
"3436","ＳＵＭＣＯ","東P","3122.0","+39.0(+1.27%)","41,931,762"
"3445","ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ","東P","5550","+20.0(+0.36%)","1,542,039"
"3449","テクノフレックス","東S","4060","+95.0(+2.40%)","513,559"
"3465","ケイアイスター不動産","東P","3265","+15.0(+0.46%)","758,494"
"3498","霞ヶ関キャピタル","東P","7470","+90.0(+1.22%)","2,564,495"
"3543","コメダＨＬＤＧ","東P","2859","-19.0(-0.66%)","1,086,223"
"3549","クスリのアオキＨＬＤＧ","東S","4015.0","-117.0(-2.83%)","938,726"
"3563","ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭ","東P","5517.0","-140.0(-2.47%)","12,027,930"
"3569","セーレン","東P","3295","+30.0(+0.92%)","610,770"
"3612","ワールド","東P","1569","-11.0(-0.70%)","878,537"
"3626","ＴＩＳＩ","東P","3800.0","-61.0(-1.58%)","3,013,697"
"3635","コーエーテクモＨＬＤＧ","東P","1636.5","-13.0(-0.79%)","1,455,655"
"3659","ネクソン","東P","3115.0","-17.0(-0.54%)","11,516,114"
"3660","アイスタイル","東P","486","-22.0(-4.33%)","1,086,239"
"3687","フィックスターズ","東P","2244","+9.0(+0.40%)","1,278,716"
"3697","ＳＨＩＦＴ","東P","830.9","-25.3(-2.95%)","4,438,276"
"3765","ガンホー・オンライン","東P","2450","-34.0(-1.37%)","860,109"
"3769","ＧＭＯペイメントゲートウェイ","東P","8466.0","-213.0(-2.45%)","3,414,713"
"3774","インターネットイニシアティブ","東P","3231.0","+18.0(+0.56%)","1,838,827"
"3778","さくらインターネット","東P","3750","+50.0(+1.35%)","5,257,356"
"3810","サイバーステップ　ＨＬＤＧ","東S","174","+0.0(+0.00%)","537,688"
"3825","リミックスポイント","東S","233","+7.0(+3.10%)","719,078"
"3861","王子ＨＬＤＧ","東P","864.0","-6.2(-0.71%)","2,798,804"
"3863","日本製紙","東P","1300","+22.0(+1.72%)","898,236"
"3891","ニッポン高度紙工業","東S","6390","+250.0(+4.07%)","917,146"
"3907","シリコンスタジオ","東S","2121","+36.0(+1.73%)","1,798,357"
"3923","ラクス","東P","1020.5","-26.0(-2.48%)","2,213,258"
"3941","レンゴー","東P","1521.0","+5.5(+0.36%)","1,331,357"
"3946","トーモク","東P","4290","+30.0(+0.70%)","536,606"
"3964","オークネット","東P","1309","-16.0(-1.21%)","1,014,318"
"3993","ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ","東P","3060","-100.0(-3.16%)","1,486,903"
"3994","マネーフォワード","東P","5879.0","-166.0(-2.75%)","4,067,775"
"4004","レゾナック・ＨＬＤＧ","東P","16070.0","+395.0(+2.52%)","30,500,623"
"4005","住友化学","東P","573.8","+5.7(+1.00%)","7,478,089"
"4021","日産化学","東P","8002.0","+180.0(+2.30%)","4,746,480"
"4022","ラサ工業","東P","1946","+7.0(+0.36%)","1,972,613"
"4023","クレハ","東P","4470","+60.0(+1.36%)","997,769"
"4028","石原産業","東P","3000","+47.0(+1.59%)","546,247"
"4042","東ソー","東P","2594.0","+31.5(+1.23%)","2,527,881"
"4043","トクヤマ","東P","4032.0","+111.0(+2.83%)","2,378,379"
"4046","大阪ソーダ","東P","1999","+60.0(+3.09%)","616,415"
"4047","関東電化工業","東P","2194","+60.0(+2.81%)","1,848,826"
"4061","デンカ","東P","3308.0","+89.0(+2.76%)","2,316,564"
"4062","イビデン","東P","21420.0","+610.0(+2.93%)","159,237,846"
"4063","信越化学工業","東P","5719.0","+17.0(+0.30%)","33,905,070"
"4071","プラスアルファコンサルティング","東P","2047","+10.0(+0.49%)","689,262"
"4078","堺化学工業","東P","3650","+35.0(+0.97%)","736,706"
"4082","第一稀元素化学工業","東P","2518","+54.0(+2.19%)","4,428,612"
"4088","エア・ウォーター","東P","2920","-95.0(-3.15%)","3,216,374"
"4091","日本酸素ＨＤ","東P","5438.0","+71.0(+1.32%)","2,521,830"
"4092","日本化学工業","東P","5170","+70.0(+1.37%)","765,418"
"4099","四国化成ＨＬＤＧ","東P","2148","+69.0(+3.32%)","1,704,286"
"4107","伊勢化学工業","東S","4055","+115.0(+2.92%)","1,210,282"
"4114","日本触媒","東P","2538.5","+47.0(+1.89%)","2,217,052"
"4118","カネカ","東P","5968.0","+67.0(+1.14%)","1,740,170"
"4151","協和キリン","東P","2224.0","-139.0(-5.88%)","3,979,314"
"4180","Ａｐｐｉｅｒ　Ｇｒｏｕｐ","東P","1393","-80.0(-5.43%)","3,114,410"
"4182","三菱瓦斯化学","東P","3858.0","+123.0(+3.29%)","7,149,982"
"4183","三井化学","東P","2141.0","+16.5(+0.78%)","4,625,043"
"4186","東京応化工業","東P","8378.0","+274.0(+3.38%)","6,209,992"
"4188","三菱ケミカルグループ","東P","1172.5","+11.0(+0.95%)","6,865,487"
"4194","ビジョナル","東P","8649.0","-271.0(-3.04%)","1,690,558"
"4202","ダイセル","東P","1406.0","+11.0(+0.79%)","1,270,219"
"4203","住友ベークライト","東P","7660.0","+760.0(+11.01%)","4,983,627"
"4204","積水化学工業","東P","2499.5","-4.5(-0.18%)","3,483,798"
"4205","日本ゼオン","東P","2347.5","-6.5(-0.28%)","2,228,305"
"4206","アイカ工業","東P","4133.0","-40.0(-0.96%)","1,005,166"
"4208","ＵＢＥ","東P","3416.0","+24.0(+0.71%)","2,823,586"
"4222","児玉化学工業","東S","692","-13.0(-1.84%)","569,415"
"4272","日本化薬","東P","2033.5","+20.5(+1.02%)","879,297"
"429A","テクセンドフォトマスク","東P","3810","+55.0(+1.46%)","2,488,530"
"4307","野村総合研究所","東P","4818.0","-151.0(-3.04%)","11,206,564"
"4324","電通グループ","東P","3535.0","-72.0(-2.00%)","4,194,833"
"4368","扶桑化学工業","東P","2875","+60.0(+2.13%)","2,806,718"
"4369","トリケミカル研究所","東P","3060","+5.0(+0.16%)","1,687,074"
"4373","シンプレクス・ＨＬＤＧ","東P","1099","-41.0(-3.60%)","1,461,395"
"4385","メルカリ","東P","3967.0","-133.0(-3.24%)","8,743,703"
"4392","ＦＩＧ","東P","1000","+15.0(+1.52%)","8,449,252"
"4401","ＡＤＥＫＡ","東P","4482.0","+113.0(+2.59%)","1,337,952"
"4403","日油","東P","2654.0","+64.0(+2.47%)","2,282,229"
"4413","ボードルア","東P","2964","+0.0(+0.00%)","1,377,249"
"4432","ウイングアーク１ｓｔ","東P","3095","-100.0(-3.13%)","668,626"
"4440","ヴィッツ","東S","2070","+56.0(+2.78%)","3,294,261"
"4443","Ｓａｎｓａｎ","東P","1976","-19.0(-0.95%)","2,779,199"
"4452","花王","東P","3413.0","-30.0(-0.87%)","10,610,448"
"4461","第一工業製薬","東P","13140","+1,010.0(+8.33%)","2,531,760"
"4471","三洋化成工業","東P","5960","+150.0(+2.58%)","858,602"
"4480","メドレー","東P","2434","-36.0(-1.46%)","1,247,569"
"4483","ＪＭＤＣ","東P","3460","-40.0(-1.14%)","1,117,021"
"4502","武田薬品工業","東P","5615.0","-145.0(-2.52%)","21,459,829"
"4503","アステラス製薬","東P","2237.0","-43.5(-1.91%)","13,195,744"
"4506","住友ファーマ","東P","1545.0","-70.0(-4.33%)","5,520,797"
"4507","塩野義製薬","東P","2846.5","-51.0(-1.76%)","6,732,320"
"4516","日本新薬","東P","3363.0","-24.0(-0.71%)","1,299,371"
"4519","中外製薬","東P","6476.0","-56.0(-0.86%)","15,364,721"
"4523","エーザイ","東P","4620.0","-32.0(-0.69%)","5,078,759"
"4527","ロート製薬","東P","2835.0","-41.5(-1.44%)","3,238,852"
"4528","小野薬品工業","東P","2353.0","-71.5(-2.95%)","3,391,927"
"4536","参天製薬","東P","1758.5","-8.0(-0.45%)","2,219,195"
"4540","ツムラ","東P","3666.0","-18.0(-0.49%)","1,813,420"
"4543","テルモ","東P","2268.0","-58.5(-2.51%)","11,180,811"
"4544","Ｈ．Ｕ．グループＨＬＤＧ","東P","3425.0","-51.0(-1.47%)","780,039"
"4565","ネクセラファーマ","東P","1190","-44.0(-3.57%)","1,528,274"
"4568","第一三共","東P","2710.5","-40.5(-1.47%)","15,326,386"
"4578","大塚ＨＬＤＧ","東P","11675.0","-125.0(-1.06%)","12,450,413"
"4587","ペプチドリーム","東P","1082.5","-13.5(-1.23%)","1,101,461"
"4612","日本ペイントＨＬＤＧ","東P","1113.5","-1.5(-0.13%)","3,749,317"
"4613","関西ペイント","東P","2797.0","-11.0(-0.39%)","1,832,023"
"4626","太陽ＨＬＤＧ","東P","4720.0","+10.0(+0.21%)","1,242,213"
"4631","ＤＩＣ","東P","4646.0","+38.0(+0.82%)","3,627,670"
"4634","ａｒｔｉｅｎｃｅ","東P","5100","+195.0(+3.98%)","717,213"
"4661","オリエンタルランド","東P","3143.0","-45.0(-1.41%)","13,674,755"
"4666","パーク２４","東P","1952.0","-28.0(-1.41%)","1,868,178"
"4667","アイサンテクノロジー","東S","3625","+225.0(+6.62%)","2,425,907"
"4676","フジ・メディアＨＬＤＧ","東P","4022.0","-40.0(-0.98%)","2,154,987"
"4680","ラウンドワン","東P","1196.5","-1.5(-0.13%)","3,060,708"
"4681","リゾートトラスト","東P","1767.0","-28.0(-1.56%)","946,760"
"4684","オービック","東P","4822.0","-82.0(-1.67%)","8,823,177"
"4689","ＬＩＮＥヤフー","東P","516.4","-10.5(-1.99%)","10,188,840"
"4704","トレンドマイクロ","東P","5626.0","-172.0(-2.97%)","6,451,691"
"4716","日本オラクル","東S","8850.0","-132.0(-1.47%)","1,916,833"
"4722","フューチャー","東P","2421","-25.0(-1.02%)","2,062,578"
"4732","ユー・エス・エス","東P","1914.5","-33.0(-1.69%)","1,885,228"
"4733","オービックビジネスコンサルタン","東P","8010.0","-212.0(-2.58%)","1,483,316"
"4746","東計電算","東S","6940","-40.0(-0.57%)","541,202"
"4751","サイバーエージェント","東P","1217.5","-19.5(-1.58%)","8,233,575"
"4755","楽天グループ","東P","718.0","-18.0(-2.45%)","13,879,947"
"4768","大塚商会","東P","3500.0","-12.0(-0.34%)","3,957,748"
"4776","サイボウズ","東P","2887","-113.0(-3.77%)","968,194"
"4784","ＧＭＯインターネット","東P","524","-5.0(-0.95%)","1,316,698"
"4812","電通総研","東P","2854","+1.0(+0.04%)","3,364,989"
"4816","東映アニメーション","東S","2975","-30.0(-1.00%)","1,142,589"
"4819","デジタルガレージ","東P","2219","+29.0(+1.32%)","596,587"
"4887","サワイグループＨＬＤＧ","東P","1587.5","-8.0(-0.50%)","874,573"
"4901","富士フイルムＨＬＤＧ","東P","3199.0","+2.0(+0.06%)","15,506,609"
"4902","コニカミノルタ","東P","574.9","-12.9(-2.19%)","2,336,433"
"4911","資生堂","東P","3351.0","+1.0(+0.03%)","8,828,136"
"4912","ライオン","東P","1775.5","-33.0(-1.82%)","2,461,859"
"4919","ミルボン","東P","3120","+5.0(+0.16%)","662,772"
"4922","コーセーＨＬＤＧ","東P","5559.0","-91.0(-1.61%)","1,679,271"
"4927","ポーラ・オルビスＨＬＤＧ","東P","1332.0","-12.0(-0.89%)","626,706"
"4966","上村工業","東S","19250","+560.0(+3.00%)","1,343,514"
"4967","小林製薬","東P","5700.0","-213.0(-3.60%)","1,149,452"
"4968","荒川化学工業","東P","2132","+116.0(+5.75%)","540,539"
"4970","東洋合成工業","東S","10200","+320.0(+3.24%)","1,036,628"
"4971","メック","東P","6220","+110.0(+1.80%)","3,040,318"
"4975","ＪＣＵ","東P","5630","+110.0(+1.99%)","632,326"
"4980","デクセリアルズ","東P","2845.0","+65.5(+2.36%)","4,409,954"
"5016","ＪＸ金属","東P","3909.0","+183.0(+4.91%)","66,739,537"
"5019","出光興産","東P","1660.0","+117.0(+7.58%)","6,313,055"
"5020","ＥＮＥＯＳ　ＨＬＤＧ","東P","1459.0","+65.5(+4.70%)","9,807,827"
"5021","コスモエネルギーＨＬＤＧ","東P","4520.0","+85.0(+1.92%)","2,328,370"
"5032","ＡＮＹＣＯＬＯＲ","東P","2855","-88.0(-2.99%)","1,404,342"
"5074","テスＨＬＤＧ","東P","612","+18.0(+3.03%)","1,040,521"
"5076","インフロニア・ＨＬＤＧ","東P","2800.0","+51.5(+1.87%)","3,932,976"
"5101","横浜ゴム","東P","6835.0","+26.0(+0.38%)","6,147,534"
"5105","ＴＯＹＯ　ＴＩＲＥ","東P","3584.0","+56.0(+1.59%)","5,392,945"
"5108","ブリヂストン","東P","3759.0","-38.0(-1.00%)","12,696,127"
"5110","住友ゴム工業","東P","2027.5","+42.5(+2.14%)","3,921,763"
"5201","ＡＧＣ","東P","5581.0","+129.0(+2.37%)","7,134,791"
"5202","日本板硝子","東P","494","+1.0(+0.20%)","1,058,213"
"5208","有沢製作所","東P","2615","+96.0(+3.81%)","557,297"
"5214","日本電気硝子","東P","4791.0","+105.0(+2.24%)","3,122,224"
"5232","住友大阪セメント","東P","5635.0","+138.0(+2.51%)","1,047,583"
"5233","太平洋セメント","東P","4136.0","-14.0(-0.34%)","1,685,411"
"5301","東海カーボン","東P","1980.0","+168.0(+9.27%)","2,692,365"
"5310","東洋炭素","東P","6950","+150.0(+2.21%)","564,506"
"5331","ノリタケ","東P","3500","+20.0(+0.57%)","684,978"
"5332","ＴＯＴＯ","東P","5803.0","-1.0(-0.02%)","5,684,275"
"5333","ＮＧＫ","東P","5138.0","+113.0(+2.25%)","7,540,852"
"5334","日本特殊陶業","東P","7446.0","+2.0(+0.03%)","8,884,642"
"5344","ＭＡＲＵＷＡ","東P","57740.0","+1,600.0(+2.85%)","5,468,918"
"5384","フジミインコーポレーテッド","東P","3350","+65.0(+1.98%)","1,117,131"
"5393","ニチアス","東P","3330.0","+65.0(+1.99%)","1,722,140"
"5401","日本製鉄","東P","675.9","-2.0(-0.30%)","27,390,509"
"5406","神戸製鋼所","東P","2035.0","+34.0(+1.70%)","3,378,196"
"5411","ＪＦＥＨＬＤＧ","東P","1830.0","+6.5(+0.36%)","15,727,170"
"5423","東京製鐵","東P","1702","+17.0(+1.01%)","513,204"
"543A","ＡＲＣＨＩＯＮ","東P","268","-3.0(-1.11%)","6,360,769"
"5444","大和工業","東P","12175.0","+145.0(+1.21%)","2,006,580"
"5463","丸一鋼管","東P","1736.0","+7.5(+0.43%)","1,319,435"
"5471","大同特殊鋼","東P","2385.5","+52.5(+2.25%)","2,442,957"
"547A","ムニノバＨＬＤＧ","東P","416","-6.0(-1.42%)","768,328"
"5541","大平洋金属","東P","2651","+112.0(+4.41%)","567,596"
"5631","日本製鋼所","東P","7312.0","+262.0(+3.72%)","5,739,946"
"5703","日本軽金属ＨＬＤＧ","東P","2975","+45.0(+1.54%)","698,146"
"5706","三井金属","東P","26200.0","+1,295.0(+5.20%)","43,919,143"
"5707","東邦亜鉛","東P","1045","+50.0(+5.03%)","1,424,274"
"5711","三菱マテリアル","東P","5386.0","+279.0(+5.46%)","16,329,326"
"5713","住友金属鉱山","東P","10370.0","+603.0(+6.17%)","34,652,375"
"5714","ＤＯＷＡ　ＨＬＤＧ","東P","9456.0","+455.0(+5.05%)","5,289,713"
"5715","古河機械金属","東P","4380","+200.0(+4.78%)","1,537,895"
"5724","アサカ理研","東S","3245","+145.0(+4.68%)","748,528"
"5726","大阪チタニウムテクノロジーズ","東P","2665","+11.0(+0.41%)","1,800,803"
"5741","ＵＡＣＪ","東P","2261","+50.0(+2.26%)","2,456,989"
"5801","古河電気工業","東P","4129.0","+463.0(+12.63%)","105,786,207"
"5802","住友電気工業","東P","2189.5","+118.5(+5.72%)","41,761,452"
"5803","フジクラ","東P","5493.0","+410.0(+8.07%)","283,214,075"
"5805","ＳＷＣＣ","東P","14660","+1,050.0(+7.71%)","5,266,219"
"5830","いよぎんＨＬＤＧ","東P","3721.0","-97.0(-2.54%)","3,421,910"
"5831","しずおかＦＧ","東P","3440.0","-122.0(-3.43%)","6,432,797"
"5832","ちゅうぎんＦＧ","東P","3406.0","-32.0(-0.93%)","1,005,359"
"5838","楽天銀行","東P","6336.0","-187.0(-2.87%)","7,112,608"
"5844","京都ＦＧ","東P","4753.0","-67.0(-1.39%)","4,250,617"
"5857","ＡＲＥＨＬＤＧ","東P","3750","+75.0(+2.04%)","3,117,310"
"5901","東洋製罐グループＨＬＤＧ","東P","4502.0","-6.0(-0.13%)","1,157,751"
