"コード","銘柄名","市場","現在値","前日比(%)","平均売買代金(千円)"
"7581","サイゼリヤ","東P","7220","-260.0(-3.48%)","2,827,410"
"7599","ＩＤＯＭ","東P","1219","-12.0(-0.97%)","1,483,033"
"7606","ユナイテッドアローズ","東P","2326","-30.0(-1.27%)","513,861"
"7609","ダイトロン","東P","3935","+60.0(+1.55%)","524,967"
"7611","ハイデイ日高","東P","3020","-30.0(-0.98%)","835,335"
"7616","コロワイド","東P","2040.0","-13.5(-0.66%)","757,260"
"7630","壱番屋","東P","1100","+13.0(+1.20%)","817,926"
"7649","スギＨＬＤＧ","東P","1307.0","-16.0(-1.21%)","3,021,378"
"7701","島津製作所","東P","3762.0","-4.0(-0.11%)","2,993,195"
"7715","長野計器","東P","3900","-5.0(-0.13%)","572,722"
"7716","ナカニシ","東S","3080","+30.0(+0.98%)","876,788"
"7717","ブイ・テクノロジー","東P","5730","+90.0(+1.60%)","1,029,632"
"7721","東京計器","東P","7000","+80.0(+1.16%)","1,797,427"
"7729","東京精密","東P","16720.0","+35.0(+0.21%)","6,301,814"
"7731","ニコン","東P","1740.0","-76.0(-4.19%)","3,009,833"
"7733","オリンパス","東P","1928.5","-36.5(-1.86%)","9,707,634"
"7735","ＳＣＲＥＥＮ　ＨＬＤＧ","東P","13020.0","-250.0(-1.88%)","27,024,229"
"7740","タムロン","東P","1345","-10.0(-0.74%)","626,269"
"7741","ＨＯＹＡ","東P","23210.0","-115.0(-0.49%)","24,078,470"
"7744","ノーリツ鋼機","東P","1960","-10.0(-0.51%)","720,624"
"7747","朝日インテック","東P","3261.0","-52.0(-1.57%)","5,838,954"
"7751","キヤノン","東P","4317.0","-45.0(-1.03%)","13,825,577"
"7752","リコー","東P","1539.0","-28.0(-1.79%)","3,931,341"
"7762","シチズン時計","東P","2259","-61.0(-2.63%)","5,403,637"
"7826","フルヤ金属","東P","11250","+820.0(+7.86%)","4,936,943"
"7832","バンダイナムコＨＬＤＧ","東P","5382.0","+29.0(+0.54%)","14,197,125"
"7846","パイロットコーポレーション","東P","2024.5","-2.5(-0.12%)","752,426"
"7867","タカラトミー","東P","3560.0","+27.0(+0.76%)","1,504,119"
"7906","ヨネックス","東S","2543","+12.0(+0.47%)","1,223,893"
"7911","ＴＯＰＰＡＮＨＬＤＧ","東P","5070.0","+50.0(+1.00%)","9,801,693"
"7912","大日本印刷","東P","3055.0","+20.0(+0.66%)","4,116,576"
"7936","アシックス","東P","4100.0","+51.0(+1.26%)","31,662,493"
"7947","エフピコ","東P","2796","-17.0(-0.60%)","517,276"
"7951","ヤマハ","東P","1230.0","-22.5(-1.80%)","2,673,345"
"7956","ピジョン","東P","1938.5","-29.5(-1.50%)","2,008,054"
"7966","リンテック","東P","5330","+220.0(+4.31%)","6,976,390"
"7974","任天堂","東P","8401.0","-349.0(-3.99%)","75,033,352"
"7984","コクヨ","東P","915.0","+2.1(+0.23%)","759,204"
"7988","ニフコ","東P","4921.0","-8.0(-0.16%)","1,300,100"
"8001","伊藤忠商事","東P","2299.0","+22.0(+0.97%)","28,544,084"
"8002","丸紅","東P","5145.0","+65.0(+1.28%)","18,642,512"
"8012","長瀬産業","東P","1150.5","+38.0(+3.42%)","1,194,425"
"8015","豊田通商","東P","7517.0","+35.0(+0.47%)","14,314,354"
