Ticker,現在値,利確目標(+2ATR),損切撤退(-1ATR),生利確確率,生損切確率,出来高倍率,5日売買代金(億),ベータ,AI判定
3445.T,5470.0,6061.4,5174.3,36.4%,54.7%,1.17x,9.1,1.23,👀 WATCH
8344.T,4860.0,5233.6,4673.2,36.1%,54.0%,1.98x,7.8,0.87,👀 WATCH
6140.T,1122.0,1199.9,1083.1,36.1%,54.3%,0.92x,6.2,1.44,⏸️ WAIT
6460.T,3152.0,3329.9,3063.1,36.0%,53.9%,1.40x,29.6,0.09,👀 WATCH
1961.T,2377.0,2503.3,2313.9,36.0%,54.7%,1.30x,7.6,1.22,👀 WATCH
8345.T,2607.0,2785.0,2518.0,35.9%,53.8%,1.70x,7.9,1.03,👀 WATCH
6005.T,3054.0,3207.3,2977.4,35.9%,53.3%,0.95x,11.1,0.6,⏸️ WAIT
4022.T,1915.0,2115.3,1814.9,35.9%,54.5%,0.75x,12.3,2.29,⏸️ WAIT
6480.T,1661.0,1816.0,1583.5,35.8%,54.5%,0.85x,10.3,1.86,⏸️ WAIT
4047.T,2204.0,2385.9,2113.1,35.8%,54.4%,0.84x,14.0,1.85,⏸️ WAIT
1911.T,1254.0,1299.3,1231.4,35.8%,53.7%,0.95x,63.6,0.36,⏸️ WAIT
9436.T,4240.0,4388.6,4165.7,35.8%,54.4%,0.85x,5.0,0.33,⏸️ WAIT
2264.T,1089.0,1137.0,1065.0,35.8%,54.5%,0.85x,20.1,0.06,⏸️ WAIT
1833.T,5700.0,5874.3,5612.9,35.8%,54.1%,1.29x,8.1,0.3,👀 WATCH
4634.T,5000.0,5222.1,4888.9,35.8%,54.6%,1.17x,6.5,0.72,👀 WATCH
8362.T,7320.0,7928.6,7015.7,35.8%,54.1%,1.06x,7.3,0.93,👀 WATCH
3099.T,3112.0,3277.7,3029.1,35.7%,53.0%,0.86x,71.2,0.77,⏸️ WAIT
9435.T,37760.0,39051.4,37114.3,35.7%,54.0%,1.03x,23.9,0.1,👀 WATCH
3110.T,2955.0,3301.4,2781.8,35.7%,54.9%,1.05x,128.2,1.91,👀 WATCH
5706.T,24705.0,27601.4,23256.8,35.7%,53.9%,1.29x,403.6,2.12,👀 WATCH
6141.T,2765.0,2920.6,2687.2,35.7%,54.2%,0.86x,45.5,1.31,⏸️ WAIT
5844.T,4893.0,5120.9,4779.1,35.7%,54.5%,1.50x,47.1,0.76,👀 WATCH
6627.T,11200.0,12642.9,10478.6,35.7%,54.5%,0.87x,7.9,2.28,⏸️ WAIT
1885.T,2082.0,2196.9,2024.6,35.7%,54.7%,0.97x,9.1,1.02,⏸️ WAIT
6367.T,20850.0,21586.4,20481.8,35.6%,54.0%,0.99x,244.5,0.39,⏸️ WAIT
8056.T,4719.0,4929.9,4613.6,35.6%,55.3%,1.03x,18.6,0.07,👀 WATCH
2767.T,2478.0,2608.0,2413.0,35.6%,54.4%,0.79x,9.6,0.17,⏸️ WAIT
8253.T,4581.0,4773.3,4484.9,35.6%,54.8%,1.20x,33.4,0.23,👀 WATCH
6787.T,19310.0,21725.7,18102.1,35.6%,54.7%,0.82x,65.4,2.17,⏸️ WAIT
7744.T,1964.0,2075.3,1908.4,35.5%,54.9%,1.92x,6.0,0.69,👀 WATCH
8360.T,7200.0,7665.7,6967.1,35.5%,54.5%,1.00x,9.7,1.04,👀 WATCH
4681.T,1763.0,1827.6,1730.7,35.5%,54.0%,1.20x,7.9,0.13,👀 WATCH
4516.T,3359.0,3472.6,3302.2,35.5%,54.6%,1.29x,10.5,0.07,👀 WATCH
8358.T,2804.0,2937.9,2737.1,35.5%,54.9%,1.57x,21.2,0.56,👀 WATCH
4755.T,723.6,761.9,704.5,35.5%,54.1%,0.92x,113.6,0.75,⏸️ WAIT
7974.T,7989.0,8514.3,7726.4,35.5%,53.8%,1.73x,732.2,0.52,👀 WATCH
9706.T,5562.0,5801.7,5442.1,35.5%,53.1%,0.68x,102.4,0.21,⏸️ WAIT
6890.T,9200.0,10128.6,8735.7,35.5%,54.9%,1.05x,80.8,2.13,⏸️ WAIT
2503.T,2791.0,2895.1,2739.0,35.5%,54.1%,1.04x,82.7,0.12,⏸️ WAIT
6323.T,3649.0,3967.7,3489.6,35.5%,55.2%,1.18x,42.0,1.39,⏸️ WAIT
6136.T,3422.0,3629.4,3318.3,35.5%,54.5%,0.94x,10.2,1.27,⏸️ WAIT
5101.T,6792.0,7285.9,6545.1,35.5%,54.7%,0.81x,64.3,1.03,⏸️ WAIT
4966.T,19180.0,20500.0,18520.0,35.4%,55.1%,1.01x,8.8,1.12,⏸️ WAIT
2737.T,35750.0,40090.0,33580.0,35.4%,55.8%,1.47x,34.2,1.83,⏸️ WAIT
4901.T,3232.0,3376.0,3160.0,35.4%,55.0%,0.97x,118.7,0.45,⏸️ WAIT
7832.T,5236.0,5535.1,5086.4,35.4%,53.8%,1.08x,172.5,0.06,⏸️ WAIT
3132.T,3674.0,3965.6,3528.2,35.4%,54.3%,0.95x,23.3,1.98,⏸️ WAIT
4114.T,2519.5,2628.2,2465.1,35.4%,54.6%,0.75x,21.9,0.44,⏸️ WAIT
1723.T,2511.0,2715.0,2409.0,35.4%,53.7%,0.73x,5.8,1.81,⏸️ WAIT
6753.T,669.2,710.7,648.4,35.4%,54.7%,1.82x,20.0,0.86,⏸️ WAIT
6966.T,940.0,1007.7,906.1,35.4%,55.2%,3.57x,53.3,1.48,⏸️ WAIT
7721.T,6590.0,7242.9,6263.6,35.4%,53.7%,1.40x,17.1,1.58,⏸️ WAIT
8387.T,4050.0,4327.1,3911.4,35.4%,54.8%,1.92x,7.4,0.84,⏸️ WAIT
8086.T,1446.0,1499.1,1419.4,35.4%,55.3%,1.59x,11.3,0.18,⏸️ WAIT
5802.T,2111.5,2284.3,2025.1,35.4%,55.3%,1.15x,356.1,1.64,⏸️ WAIT
4480.T,2465.0,2672.1,2361.4,35.4%,55.0%,0.90x,5.9,0.23,⏸️ WAIT
1518.T,2275.0,2351.7,2236.6,35.4%,53.8%,0.87x,6.1,0.48,⏸️ WAIT
2413.T,1701.0,1825.2,1638.9,35.4%,54.6%,1.10x,58.3,0.2,⏸️ WAIT
4043.T,4052.0,4298.3,3928.9,35.4%,55.1%,0.71x,23.1,1.42,⏸️ WAIT
6965.T,2233.0,2368.7,2165.1,35.3%,55.9%,1.07x,55.5,1.32,⏸️ WAIT
4519.T,6418.0,6670.3,6291.9,35.3%,55.1%,1.17x,176.1,-0.09,⏸️ WAIT
3291.T,2232.0,2305.1,2195.5,35.3%,55.4%,1.07x,9.4,0.18,⏸️ WAIT
1861.T,1292.0,1330.4,1272.8,35.3%,54.5%,1.33x,11.1,0.6,⏸️ WAIT
2780.T,4440.0,4776.4,4271.8,35.3%,54.1%,0.84x,6.1,0.79,⏸️ WAIT
3660.T,484.0,522.4,464.8,35.3%,53.9%,1.02x,5.9,1.72,⏸️ WAIT
7012.T,2349.0,2499.8,2273.6,35.3%,53.8%,1.18x,283.8,1.03,⏸️ WAIT
9766.T,20350.0,21480.0,19785.0,35.3%,55.3%,1.07x,97.1,-0.09,⏸️ WAIT
9627.T,5905.0,6131.3,5791.9,35.3%,55.0%,1.37x,5.2,0.26,⏸️ WAIT
1980.T,2754.0,2919.7,2671.1,35.3%,55.4%,1.14x,14.7,1.44,⏸️ WAIT
6465.T,5286.0,5465.4,5196.3,35.3%,54.7%,1.30x,19.4,0.11,⏸️ WAIT
4971.T,6140.0,6685.7,5867.1,35.3%,55.4%,1.03x,14.8,1.78,⏸️ WAIT
4540.T,3711.0,3795.6,3668.7,35.3%,53.0%,0.86x,25.9,0.0,⏸️ WAIT
4099.T,2185.0,2373.1,2090.9,35.3%,55.4%,1.71x,19.7,1.44,⏸️ WAIT
4927.T,1341.5,1380.8,1321.9,35.3%,54.6%,1.15x,6.9,-0.16,⏸️ WAIT
8714.T,1075.0,1129.4,1047.8,35.2%,55.0%,1.18x,7.4,0.79,⏸️ WAIT
7735.T,13040.0,14064.3,12527.9,35.2%,54.8%,0.91x,207.3,1.26,⏸️ WAIT
4182.T,3863.0,4095.6,3746.7,35.2%,55.0%,0.86x,54.7,1.22,⏸️ WAIT
5929.T,3400.0,3526.6,3336.7,35.2%,55.3%,0.86x,22.5,0.41,⏸️ WAIT
2802.T,5035.0,5310.7,4897.1,35.2%,55.3%,0.90x,154.5,0.98,⏸️ WAIT
4704.T,5718.0,6118.3,5517.9,35.2%,55.2%,1.08x,60.6,-0.51,⏸️ WAIT
1414.T,1245.0,1277.8,1228.6,35.2%,54.3%,1.28x,13.2,0.06,⏸️ WAIT
7733.T,1923.5,2030.8,1869.9,35.2%,55.5%,0.94x,82.1,0.02,⏸️ WAIT
5715.T,4265.0,4639.3,4077.9,35.2%,54.7%,1.06x,9.3,1.47,⏸️ WAIT
1951.T,2548.0,2634.1,2504.9,35.2%,54.5%,0.96x,11.4,0.56,⏸️ WAIT
3659.T,3116.0,3256.3,3045.9,35.1%,54.8%,0.90x,84.7,0.61,⏸️ WAIT
2331.T,1207.0,1243.5,1188.8,35.1%,56.0%,1.14x,11.7,-0.19,⏸️ WAIT
6457.T,4237.0,4443.9,4133.6,35.1%,54.2%,1.25x,7.4,0.78,⏸️ WAIT
4118.T,5931.0,6164.3,5814.4,35.1%,54.9%,1.08x,10.5,0.56,⏸️ WAIT
2502.T,1594.0,1641.1,1570.5,35.1%,54.7%,1.14x,91.7,0.09,⏸️ WAIT
6269.T,9384.0,10039.0,9056.5,35.1%,54.3%,0.85x,57.6,1.47,⏸️ WAIT
6113.T,2378.5,2533.0,2301.2,35.1%,54.2%,1.39x,51.8,1.7,⏸️ WAIT
4091.T,5450.0,5717.1,5316.4,35.1%,55.1%,1.37x,31.9,0.56,⏸️ WAIT
8370.T,5060.0,5280.0,4950.0,35.1%,54.6%,1.10x,7.5,0.66,⏸️ WAIT
4812.T,2859.0,2917.7,2829.6,35.1%,55.6%,0.64x,38.2,0.04,⏸️ WAIT
5741.T,2230.0,2399.1,2145.4,35.1%,55.1%,1.14x,14.0,0.88,⏸️ WAIT
2585.T,1385.0,1523.3,1315.9,35.1%,54.9%,1.49x,9.9,0.99,⏸️ WAIT
8136.T,1173.5,1262.4,1129.1,35.1%,54.7%,1.03x,223.7,0.4,⏸️ WAIT
6370.T,7461.0,7892.4,7245.3,35.1%,54.2%,1.14x,46.7,1.3,⏸️ WAIT
6752.T,4292.0,4605.1,4135.4,35.1%,55.8%,1.45x,311.6,1.58,⏸️ WAIT
6507.T,11590.0,12670.0,11050.0,35.1%,55.3%,1.15x,16.5,1.61,⏸️ WAIT
4970.T,10100.0,11174.3,9562.9,35.1%,55.0%,1.69x,7.6,1.87,⏸️ WAIT
5393.T,3308.0,3507.6,3208.2,35.1%,54.1%,0.98x,13.7,1.32,⏸️ WAIT
4816.T,2974.0,3162.0,2880.0,35.1%,55.2%,1.05x,12.9,-0.24,⏸️ WAIT
6135.T,14600.0,15514.3,14142.9,35.0%,54.5%,1.23x,15.8,1.31,⏸️ WAIT
1721.T,5357.0,5559.4,5255.8,35.0%,53.9%,1.47x,23.7,0.53,⏸️ WAIT
9021.T,2996.0,3082.4,2952.8,35.0%,55.3%,1.03x,52.0,0.08,⏸️ WAIT
9279.T,2227.0,2394.4,2143.3,35.0%,55.2%,0.90x,5.3,-0.18,⏸️ WAIT
6902.T,1885.0,1948.3,1853.4,35.0%,55.4%,1.04x,127.9,0.6,⏸️ WAIT
1969.T,4441.0,4645.6,4338.7,35.0%,55.0%,1.11x,23.6,0.98,⏸️ WAIT
5074.T,601.0,652.4,575.3,35.0%,55.1%,0.59x,6.2,1.19,⏸️ WAIT
6806.T,24375.0,25681.4,23721.8,35.0%,53.2%,0.83x,34.6,1.12,⏸️ WAIT
8113.T,945.2,979.3,928.2,35.0%,55.2%,1.24x,44.2,-0.06,⏸️ WAIT
3891.T,6400.0,7108.6,6045.7,35.0%,54.2%,0.74x,9.1,2.87,⏸️ WAIT
1820.T,5501.0,5667.0,5418.0,35.0%,55.1%,1.13x,7.0,0.23,⏸️ WAIT
6875.T,10620.0,11405.7,10227.1,35.0%,54.7%,0.62x,11.2,1.36,⏸️ WAIT
8392.T,3015.0,3227.3,2908.9,35.0%,54.9%,0.88x,6.0,0.92,⏸️ WAIT
9302.T,3339.0,3442.7,3287.1,35.0%,55.0%,0.89x,6.9,0.22,⏸️ WAIT
7951.T,1221.0,1271.4,1195.8,35.0%,55.5%,1.01x,31.8,0.49,⏸️ WAIT
7616.T,2048.0,2116.1,2013.9,35.0%,54.0%,0.94x,8.1,-0.11,⏸️ WAIT
6592.T,1660.5,1733.4,1624.0,35.0%,54.7%,0.85x,21.2,0.87,⏸️ WAIT
8282.T,1863.5,1933.0,1828.8,35.0%,55.2%,1.45x,11.8,0.28,⏸️ WAIT
8361.T,8160.0,8657.1,7911.4,35.0%,55.6%,0.98x,10.8,0.59,⏸️ WAIT
3103.T,1493.0,1752.9,1363.1,35.0%,54.7%,0.95x,108.4,1.59,⏸️ WAIT
2146.T,224.0,235.1,218.4,35.0%,55.6%,1.03x,8.1,0.21,⏸️ WAIT
9364.T,4826.0,4929.7,4774.1,35.0%,54.9%,1.39x,12.2,0.19,⏸️ WAIT
5703.T,2976.0,3131.0,2898.5,35.0%,54.9%,1.05x,7.2,0.62,⏸️ WAIT
1944.T,6887.0,7251.0,6705.0,35.0%,55.0%,0.92x,42.5,1.04,⏸️ WAIT
8388.T,9940.0,10601.4,9609.3,35.0%,54.8%,1.32x,9.9,0.69,⏸️ WAIT
6235.T,2506.0,2703.1,2407.4,35.0%,55.5%,1.04x,6.9,1.81,⏸️ WAIT
1719.T,1880.0,1936.9,1851.6,35.0%,54.5%,1.38x,12.2,0.32,⏸️ WAIT
6376.T,3380.0,3740.0,3200.0,34.9%,54.1%,1.31x,13.5,1.6,⏸️ WAIT
5232.T,5552.0,5883.0,5386.5,34.9%,54.2%,1.05x,11.0,1.05,⏸️ WAIT
6143.T,1665.0,1819.3,1587.9,34.9%,54.9%,0.72x,7.7,1.4,⏸️ WAIT
6417.T,2037.0,2110.0,2000.5,34.9%,55.0%,1.41x,17.9,-0.14,⏸️ WAIT
7552.T,3690.0,3915.7,3577.1,34.9%,54.8%,0.94x,5.6,0.44,⏸️ WAIT
6856.T,22100.0,23510.7,21394.6,34.9%,54.8%,0.85x,43.2,1.47,⏸️ WAIT
6526.T,1877.0,2027.4,1801.8,34.9%,53.9%,1.22x,95.9,1.73,⏸️ WAIT
5233.T,4058.0,4248.6,3962.7,34.9%,54.4%,1.41x,19.1,0.79,⏸️ WAIT
4324.T,3587.0,3788.7,3486.1,34.9%,55.6%,1.05x,33.1,0.15,⏸️ WAIT
6999.T,2170.0,2359.7,2075.1,34.9%,54.7%,0.84x,10.6,2.08,⏸️ WAIT
6503.T,5095.0,5405.0,4940.0,34.9%,55.2%,0.76x,321.8,1.37,⏸️ WAIT
9048.T,1873.0,1913.3,1852.9,34.9%,55.9%,1.20x,9.7,-0.09,⏸️ WAIT
1803.T,2391.5,2530.7,2321.9,34.9%,54.9%,1.51x,94.1,0.63,⏸️ WAIT
9401.T,5688.0,5897.1,5583.4,34.9%,55.1%,1.00x,14.3,0.29,⏸️ WAIT
9409.T,3125.0,3222.1,3076.4,34.9%,55.3%,1.53x,6.8,0.1,⏸️ WAIT
6481.T,6021.0,6459.0,5802.0,34.9%,55.1%,1.31x,57.6,1.48,⏸️ WAIT
4452.T,3439.0,3558.3,3379.4,34.9%,54.4%,1.12x,87.2,0.03,⏸️ WAIT
5831.T,3535.0,3713.3,3445.9,34.9%,54.6%,1.13x,71.0,0.67,⏸️ WAIT
8304.T,3457.0,3616.3,3377.4,34.9%,54.1%,1.13x,43.4,0.34,⏸️ WAIT
6777.T,19880.0,22277.1,18681.4,34.9%,55.0%,0.98x,21.7,2.2,⏸️ WAIT
6103.T,4305.0,4595.7,4159.6,34.9%,54.7%,1.10x,19.2,1.55,⏸️ WAIT
6055.T,2177.0,2367.3,2081.9,34.9%,56.1%,1.04x,13.2,1.17,⏸️ WAIT
8544.T,2862.0,3030.0,2778.0,34.9%,55.1%,1.21x,6.9,0.68,⏸️ WAIT
6702.T,3788.0,4005.1,3679.4,34.9%,55.1%,1.09x,231.2,0.59,⏸️ WAIT
4543.T,2235.0,2347.4,2178.8,34.9%,55.6%,1.27x,107.6,0.62,⏸️ WAIT
8303.T,1576.0,1649.7,1539.1,34.9%,55.6%,1.02x,45.0,0.67,⏸️ WAIT
8919.T,3445.0,3642.1,3346.4,34.9%,55.0%,1.26x,5.4,0.54,⏸️ WAIT
4912.T,1744.0,1822.4,1704.8,34.8%,55.3%,0.99x,20.0,0.17,⏸️ WAIT
4194.T,8794.0,9287.3,8547.4,34.8%,54.8%,1.28x,18.6,0.36,⏸️ WAIT
6869.T,1779.0,1877.1,1729.9,34.8%,55.9%,1.11x,52.4,0.09,⏸️ WAIT
6941.T,7690.0,8434.3,7317.9,34.8%,55.4%,0.78x,16.5,1.83,⏸️ WAIT
4078.T,3665.0,3867.9,3563.6,34.8%,55.6%,0.74x,7.6,0.94,⏸️ WAIT
1333.T,1267.5,1299.5,1251.5,34.8%,53.7%,0.86x,5.3,-0.21,⏸️ WAIT
1812.T,4987.0,5246.4,4857.3,34.8%,55.6%,1.38x,114.1,0.82,⏸️ WAIT
7003.T,4244.0,4590.6,4070.7,34.8%,54.4%,1.02x,88.0,1.44,⏸️ WAIT
1942.T,5567.0,5873.0,5414.0,34.8%,55.5%,1.25x,41.2,1.22,⏸️ WAIT
4768.T,3489.0,3636.9,3415.1,34.8%,55.1%,1.08x,38.0,0.11,⏸️ WAIT
9434.T,243.2,250.7,239.5,34.8%,56.1%,1.35x,162.1,0.12,⏸️ WAIT
4544.T,3388.0,3538.6,3312.7,34.8%,55.4%,1.11x,7.2,0.44,⏸️ WAIT
3288.T,7526.0,7808.6,7384.7,34.8%,54.8%,0.85x,24.2,0.45,⏸️ WAIT
9616.T,3134.0,3287.7,3057.1,34.8%,54.7%,1.32x,22.9,0.23,⏸️ WAIT
8367.T,1943.0,2049.1,1889.9,34.8%,55.2%,1.32x,9.1,0.77,⏸️ WAIT
6490.T,9300.0,10178.6,8860.7,34.8%,55.1%,1.10x,7.4,1.46,⏸️ WAIT
7419.T,1233.0,1266.4,1216.3,34.8%,54.9%,1.30x,6.5,0.19,⏸️ WAIT
4208.T,3408.0,3521.7,3351.1,34.8%,55.0%,0.68x,25.2,0.54,⏸️ WAIT
6101.T,4875.0,5346.4,4639.3,34.8%,55.8%,1.17x,16.3,1.8,⏸️ WAIT
6981.T,7525.0,8299.1,7137.9,34.8%,55.8%,1.09x,1489.5,2.04,⏸️ WAIT
6525.T,8821.0,9842.0,8310.5,34.8%,55.4%,0.87x,780.2,1.85,⏸️ WAIT
6268.T,4497.0,4820.6,4335.2,34.8%,55.1%,0.82x,44.4,1.73,⏸️ WAIT
2269.T,4302.0,4479.3,4213.4,34.7%,53.4%,1.05x,43.9,-0.17,⏸️ WAIT
3436.T,3058.0,3480.2,2846.9,34.7%,55.8%,1.01x,332.7,1.93,⏸️ WAIT
8338.T,728.0,789.7,697.1,34.7%,55.5%,0.64x,12.7,1.19,⏸️ WAIT
8511.T,2440.0,2534.0,2393.0,34.7%,55.6%,0.62x,5.0,0.25,⏸️ WAIT
6504.T,12855.0,13767.9,12398.6,34.7%,55.7%,0.95x,94.3,1.43,⏸️ WAIT
7164.T,3120.0,3183.6,3088.2,34.7%,55.6%,1.19x,8.0,-0.07,⏸️ WAIT
1417.T,3519.0,3634.4,3461.3,34.7%,55.1%,1.57x,8.3,0.49,⏸️ WAIT
6849.T,1482.0,1541.0,1452.5,34.7%,56.4%,1.25x,10.2,0.06,⏸️ WAIT
4061.T,3312.0,3511.3,3212.4,34.7%,55.2%,1.22x,21.6,1.12,⏸️ WAIT
9031.T,3098.0,3204.9,3044.6,34.7%,54.9%,1.26x,5.0,-0.16,⏸️ WAIT
5032.T,3240.0,3425.1,3147.4,34.7%,56.6%,3.13x,33.2,0.56,⏸️ WAIT
8022.T,3910.0,4148.6,3790.7,34.7%,55.8%,1.17x,10.9,0.22,⏸️ WAIT
6963.T,4844.0,5332.1,4599.9,34.7%,55.8%,0.92x,154.5,1.91,⏸️ WAIT
9468.T,3599.0,3766.6,3515.2,34.7%,55.1%,0.75x,11.3,-0.22,⏸️ WAIT
6407.T,5190.0,5692.9,4938.6,34.7%,55.9%,0.82x,24.6,1.7,⏸️ WAIT
6622.T,12140.0,13120.0,11650.0,34.7%,55.1%,1.07x,22.1,1.81,⏸️ WAIT
4046.T,1968.0,2089.7,1907.1,34.7%,55.3%,0.98x,6.1,0.88,⏸️ WAIT
9684.T,2855.5,3050.6,2758.0,34.7%,55.8%,1.12x,27.9,0.46,⏸️ WAIT
6754.T,3189.0,3408.4,3079.3,34.7%,55.3%,0.99x,30.6,1.45,⏸️ WAIT
4578.T,11465.0,11942.1,11226.4,34.7%,55.2%,1.23x,130.9,-0.05,⏸️ WAIT
4062.T,20680.0,23307.9,19366.1,34.7%,56.5%,0.90x,1937.9,1.69,⏸️ WAIT
1893.T,1468.0,1547.1,1428.5,34.7%,55.0%,1.18x,30.3,1.19,⏸️ WAIT
7740.T,1340.0,1390.7,1314.6,34.7%,54.9%,0.72x,6.7,0.51,⏸️ WAIT
5938.T,1727.0,1761.6,1709.7,34.7%,55.4%,0.90x,29.2,0.33,⏸️ WAIT
9072.T,5115.0,5372.7,4986.1,34.7%,53.8%,0.76x,7.8,0.5,⏸️ WAIT
8308.T,2488.5,2623.9,2420.8,34.7%,56.0%,1.11x,220.6,0.69,⏸️ WAIT
6645.T,6030.0,6452.3,5818.9,34.7%,54.9%,1.05x,65.1,1.35,⏸️ WAIT
3863.T,1307.0,1375.7,1272.6,34.7%,53.9%,0.91x,6.1,0.23,⏸️ WAIT
6861.T,76500.0,80381.4,74559.3,34.7%,55.0%,1.05x,407.2,1.24,⏸️ WAIT
5202.T,495.0,499.3,492.9,34.7%,55.3%,1.70x,14.5,0.05,⏸️ WAIT
6804.T,2531.0,2624.7,2484.1,34.7%,54.8%,1.02x,5.4,0.69,⏸️ WAIT
7380.T,2639.0,2795.0,2561.0,34.7%,55.1%,1.36x,8.5,0.65,⏸️ WAIT
7322.T,2166.0,2322.1,2087.9,34.6%,55.7%,1.25x,5.6,0.68,⏸️ WAIT
9076.T,2662.0,2751.3,2617.4,34.6%,55.0%,1.07x,8.5,0.27,⏸️ WAIT
6544.T,1453.0,1522.3,1418.4,34.6%,55.2%,1.12x,8.7,0.16,⏸️ WAIT
5105.T,3687.0,3889.9,3585.6,34.6%,55.6%,1.72x,74.9,1.15,⏸️ WAIT
9045.T,3211.0,3295.3,3168.9,34.6%,55.9%,1.06x,7.2,-0.18,⏸️ WAIT
4503.T,2227.0,2315.7,2182.6,34.6%,56.0%,1.20x,112.6,-0.21,⏸️ WAIT
4612.T,1114.5,1166.9,1088.3,34.6%,55.4%,1.08x,29.5,0.9,⏸️ WAIT
6479.T,3377.0,3581.9,3274.6,34.6%,55.4%,0.84x,88.9,1.52,⏸️ WAIT
4680.T,1224.0,1324.6,1173.7,34.6%,55.3%,0.73x,40.3,0.37,⏸️ WAIT
4631.T,4645.0,4956.0,4489.5,34.6%,56.2%,1.07x,35.4,1.09,⏸️ WAIT
9449.T,3836.0,4053.9,3727.1,34.6%,55.1%,0.82x,10.7,0.44,⏸️ WAIT
6016.T,11170.0,12408.6,10550.7,34.6%,54.4%,1.23x,13.0,0.81,⏸️ WAIT
4004.T,16005.0,17612.1,15201.4,34.6%,55.7%,0.75x,263.1,1.59,⏸️ WAIT
6845.T,1455.5,1513.3,1426.6,34.6%,54.6%,0.85x,19.0,0.81,⏸️ WAIT
3092.T,1107.5,1152.0,1085.2,34.6%,54.8%,1.16x,27.7,0.14,⏸️ WAIT
6315.T,2222.0,2403.9,2131.1,34.6%,55.5%,0.85x,62.7,1.73,⏸️ WAIT
7729.T,16860.0,18283.6,16148.2,34.6%,55.9%,0.95x,42.4,1.36,⏸️ WAIT
4385.T,3921.0,4287.1,3737.9,34.6%,53.8%,0.76x,77.6,0.52,⏸️ WAIT
3105.T,2265.5,2420.4,2188.0,34.5%,56.6%,0.92x,17.8,1.2,⏸️ WAIT
5076.T,2766.0,2892.2,2702.9,34.5%,54.2%,1.31x,35.3,0.93,⏸️ WAIT
3993.T,3180.0,3475.7,3032.1,34.5%,55.6%,0.95x,8.0,0.9,⏸️ WAIT
4401.T,4435.0,4666.9,4319.1,34.5%,55.3%,0.77x,10.9,0.81,⏸️ WAIT
7004.T,1142.0,1204.1,1110.9,34.5%,55.7%,0.73x,12.9,1.29,⏸️ WAIT
7717.T,5770.0,6314.3,5497.9,34.5%,54.6%,0.69x,9.3,2.24,⏸️ WAIT
4063.T,5762.0,5943.4,5671.3,34.5%,55.3%,0.90x,390.3,0.55,⏸️ WAIT
8343.T,9380.0,10012.9,9063.6,34.5%,54.1%,1.13x,13.7,0.84,⏸️ WAIT
5830.T,3830.0,4045.4,3722.3,34.5%,55.3%,1.16x,40.8,0.73,⏸️ WAIT
5838.T,6574.0,6982.4,6369.8,34.5%,55.7%,1.07x,74.8,0.68,⏸️ WAIT
2501.T,1844.0,1914.4,1808.8,34.5%,55.5%,1.10x,18.8,-0.05,⏸️ WAIT
5801.T,4024.0,4552.6,3759.7,34.5%,56.2%,0.94x,908.2,1.96,⏸️ WAIT
6728.T,7019.0,7480.7,6788.1,34.5%,56.3%,1.02x,27.5,0.62,⏸️ WAIT
6264.T,1891.0,2088.4,1792.3,34.5%,55.7%,0.82x,9.0,1.83,⏸️ WAIT
1882.T,1592.0,1626.7,1574.6,34.5%,55.2%,1.27x,5.4,0.31,⏸️ WAIT
8346.T,1002.0,1055.0,975.5,34.5%,55.3%,1.07x,9.1,0.74,⏸️ WAIT
2871.T,2152.5,2224.9,2116.3,34.5%,55.0%,0.88x,26.6,-0.11,⏸️ WAIT
4483.T,3610.0,3836.4,3496.8,34.5%,55.4%,0.91x,15.5,0.65,⏸️ WAIT
5631.T,6836.0,7415.6,6546.2,34.5%,55.1%,1.70x,63.6,0.81,⏸️ WAIT
4751.T,1235.5,1299.1,1203.7,34.5%,54.7%,0.94x,58.3,0.44,⏸️ WAIT
9831.T,712.1,740.9,697.7,34.5%,56.2%,1.49x,27.8,0.03,⏸️ WAIT
6701.T,4587.0,4897.0,4432.0,34.5%,55.2%,0.86x,280.6,0.44,⏸️ WAIT
8393.T,2674.0,2858.3,2581.9,34.4%,55.2%,1.54x,7.2,0.87,⏸️ WAIT
2579.T,3739.0,3898.9,3659.1,34.4%,54.3%,1.00x,25.9,0.27,⏸️ WAIT
8354.T,7768.0,8116.7,7593.6,34.4%,55.2%,1.22x,53.1,0.58,⏸️ WAIT
8366.T,2866.0,3024.0,2787.0,34.4%,55.3%,0.83x,14.4,0.93,⏸️ WAIT
3107.T,3730.0,3879.4,3655.3,34.4%,55.5%,1.19x,8.1,0.72,⏸️ WAIT
6590.T,3930.0,4310.0,3740.0,34.4%,55.4%,0.70x,39.8,1.65,⏸️ WAIT
3769.T,8442.0,8993.4,8166.3,34.4%,55.6%,0.82x,28.0,-0.49,⏸️ WAIT
7984.T,911.3,941.8,896.1,34.4%,55.0%,1.19x,8.3,0.19,⏸️ WAIT
7350.T,7800.0,8310.0,7545.0,34.4%,55.6%,1.15x,5.3,0.62,⏸️ WAIT
7906.T,2419.0,2592.4,2332.3,34.4%,55.1%,1.38x,12.9,0.11,⏸️ WAIT
6954.T,5794.0,6114.3,5633.9,34.4%,56.0%,1.07x,268.1,1.2,⏸️ WAIT
1407.T,2263.0,2525.1,2132.0,34.4%,54.7%,1.66x,9.7,1.53,⏸️ WAIT
