Ticker,Date,RSI,SMA25_Dev,SMA200_Dev,BB_pct_b,MACD_Hist,MACD_Slope,ATR_Pct
1719.T,2025-11-18,59.409603118667285,1.5117047934881418,18.93780506383148,0.6092854367322038,1.0258564629145184,-2.430567183565028,2.29765915412723
1719.T,2026-02-05,61.26763778399109,4.2698118403104655,26.030580372715917,1.1095042225992047,0.8589233449841416,5.086265966357992,1.582733513213851
1721.T,2024-11-05,44.751359921661596,-0.2431620312933992,,0.4498264849133756,3.824998790909923,-4.970567774738662,1.8716216430823964
1721.T,2025-10-14,54.98924312483737,-0.10400314542025516,12.341226097266441,0.477466413001025,-0.28338519778315785,-7.667529999884234,1.8612112712311633
1721.T,2025-10-16,57.060655646488875,1.3061123062096325,13.91813243216996,0.7067751331339729,-0.08714394451711627,0.19624125326604158,1.8587467839441703
1721.T,2025-10-17,51.619030686148385,0.8302479886459676,13.328143342855,0.6259576762207467,-1.6668554068370867,-2.0414169295237343,1.8893514132237368
1721.T,2026-01-07,69.60279260052008,5.343763146098314,29.487742616674247,0.8480090344789826,9.84291318427529,0.5837135311496837,1.6082950160974754
1721.T,2026-01-08,75.74696124276208,5.52482297270687,29.985122227024874,0.8638835771291143,8.075154657542129,-4.910979951769505,1.6200449198139195
1721.T,2026-02-05,48.4573640073161,2.8873877269257444,31.91705578557576,0.7556762534039629,-16.486351746864642,9.10175722170726,1.789663909037206
1721.T,2026-02-09,68.98550939200936,6.191133390304845,36.68268328543074,1.1524661617113943,6.476052149515382,22.962403896380025,2.3267351879524507
1721.T,2026-02-13,66.02629581759615,6.872230441476019,38.60046173314961,0.9231619992492207,31.535718217204618,10.563353330319643,2.6642602130889816
1721.T,2026-02-16,74.764400237225,7.5070530873296875,39.77135543689677,0.939959770636265,30.924146243029014,-3.1392485929836624,2.5993397297822844
1721.T,2026-02-17,74.55121894145552,7.197820142937916,39.68764108622385,0.8997500761995497,28.45373008551971,-3.081988131684909,2.593055359431219
1721.T,2026-02-18,83.19836523300323,8.91634892862516,42.25953734334234,0.9595303420794653,31.366322518882754,0.44217627585373975,2.646225944568682
1723.T,2024-10-02,55.501306335206436,,,,3.114505183027389,-0.9257650577698433,2.3412205130426087
1723.T,2025-07-17,55.42167259446266,2.03182178104161,29.26341227927347,0.7089714413644486,-1.7405014150761033,-2.193477877050629,2.5069423532707478
1723.T,2025-09-18,36.17028917192256,-1.1811895308192417,26.517380149310604,0.3531375404485692,-5.2643706801438945,0.7725728767672617,2.601842397534013
1723.T,2025-10-16,43.14756031727572,-1.3357728347249176,21.476775418631046,0.3123308771383943,-5.87643874802963,-2.322955737696864,2.8373741042924734
1723.T,2025-10-17,39.146220115442674,-2.2755393244644533,20.011859159754486,0.20551142055733834,-6.731388961596908,-1.33725614581412,2.7122992809206057
1723.T,2025-11-05,73.15788426479602,12.285085387011534,37.43788360951829,1.0085787719442405,21.62805936198413,12.423781315972168,3.6015423926488883
1723.T,2026-01-15,91.89191828985435,18.68300347983338,80.66692852727971,1.0393348109578624,26.06681901403269,7.800178668586014,3.041474457957274
1723.T,2026-01-16,93.13728334461848,19.62325043418394,83.5243483608158,1.0165158279599122,28.73596402261626,5.7713447695373645,3.1127817930013757
1723.T,2026-02-04,72.43901830052435,18.859629375704916,98.56174916972999,0.9200523311007471,19.564660721700875,12.65219400772375,5.34752440601458
1723.T,2026-03-09,38.862557637524546,-10.251920660594259,59.7009889555682,-0.2308225968501659,-55.62303470038539,-24.560419102153148,6.384015323082591
1723.T,2026-03-30,34.18498703366775,-17.11777579317214,29.32626440427462,0.039170489384363426,-49.60315202095165,-6.709945841544787,5.884688879638874
1723.T,2026-03-31,26.101463176826982,-15.613263402610144,29.98709422420143,0.0906883811015709,-48.19638460600903,-3.243109939589857,5.66571833897815
1801.T,2024-10-31,62.449835117681694,2.70576250272446,,0.8839744135651227,36.28338084929186,10.195969855053079,2.269309262244584
1801.T,2024-11-01,56.59688046968078,0.3696609695962901,,0.5619044160374917,26.327646205599336,-8.236896839065267,2.385102142260988
1801.T,2024-11-05,59.1959135710958,2.0726176113327837,,0.7744669486380751,25.513418753784322,-10.769962095507537,2.407654398757923
1801.T,2024-11-06,56.03687551798086,2.9587323786657396,,0.8687169645357238,27.665825404030418,1.3381791984310816,2.136799067908748
1801.T,2025-04-11,39.55329699289358,-0.8370359761052598,,0.42897175594940556,-30.038734711302254,49.31687769519331,3.649900788012933
1801.T,2025-06-25,60.37882363936925,1.8457702599795596,,0.6853906151537672,1.9397160777002398,-12.734195047965358,2.02473290960721
1801.T,2025-10-10,54.995101898900444,2.951219939766621,33.6896924143227,0.7130066464098993,34.888315394242284,-11.83444656506191,2.7707352069771525
1801.T,2025-10-14,58.40497921236842,0.9179589985279265,30.815086369969645,0.5327482883505202,6.975705886981302,-46.651113945581386,2.779886193566904
1801.T,2025-10-15,60.12734670029892,2.926255146406265,33.4001708052657,0.7104925130634111,1.8969253257538412,-32.99139006848844,2.749912328539687
1801.T,2025-10-16,63.14177950141871,5.081400494273503,36.20143180107668,0.8713257361415535,12.654004850546414,5.678298963565112,2.8133056875897133
1801.T,2025-10-17,59.93443670008669,4.76507189579717,35.825563411205465,0.8315508144621876,16.96683972231378,15.069914396559938,2.7028459589684415
1801.T,2026-02-13,63.08901397260056,4.687842144505544,58.34934512790302,0.6682395504716776,152.2156523089053,-93.47869981443739,4.201195386874169
1802.T,2025-04-11,49.25497750216389,2.557402880671672,,0.6697051779047571,0.6518060201741722,15.91819458994018,3.455183025836549
1802.T,2025-10-10,43.19646593441902,-1.7981427329899455,11.488043324738236,0.23737123841409338,-5.975432891933465,-2.2813336552927623,2.312956386227103
1802.T,2025-10-14,48.929452834183074,-1.3956261062857143,11.786060859372489,0.3145015775982088,-6.4680274198075605,-2.4463315745496335,2.3623202743633573
1802.T,2025-10-15,52.77000561740876,-0.39449202842147274,12.827764729644835,0.49750590338860506,-4.995483103991438,0.9799497879420276,2.319296749386745
1802.T,2025-10-16,57.10347513927275,1.4478965053839588,14.807202171325251,0.8655183082616309,-1.064525083235372,5.403502336572188,2.541290273107827
1802.T,2025-10-17,55.975630290607526,2.7220496127923615,16.164066297470846,1.0182037480341823,3.3840510146477705,8.379534118639208,2.4901580169275026
1802.T,2026-01-08,64.23358037076146,3.0164728204144526,37.89868278205975,0.8871545823076484,-10.737089616149674,-0.7063888479661244,1.9396923350937056
1802.T,2026-01-09,68.72341154333564,5.1065839009822245,40.77672451244541,1.1938010607567673,-4.9489216452773945,7.317580856946336,1.9841272819231752
1802.T,2026-02-05,68.11351438710011,8.754786213173984,48.81679790022023,1.064454363444502,10.385184297197526,22.172598179591162,2.3133326530332665
1802.T,2026-02-06,76.63816454885914,11.567225168508557,53.276578635193495,1.194306476319717,23.15359031114815,22.315755800831866,2.381552260073321
